date,team1,team2,winner
4/18/2008,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
4/19/2008,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
4/19/2008,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
4/20/2008,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
4/20/2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
4/21/2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
4/22/2008,Deccan Chargers,Delhi Daredevils,Delhi Daredevils
4/23/2008,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
4/24/2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
4/25/2008,Kings XI Punjab,Mumbai Indians,Kings XI Punjab
4/26/2008,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
4/26/2008,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
4/27/2008,Mumbai Indians,Deccan Chargers,Deccan Chargers
4/27/2008,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
4/28/2008,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
4/29/2008,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
4/30/2008,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils
5/1/2008,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
5/1/2008,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
5/2/2008,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils
5/25/2008,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore
5/3/2008,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
5/4/2008,Mumbai Indians,Delhi Daredevils,Mumbai Indians
5/4/2008,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
5/5/2008,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
5/6/2008,Chennai Super Kings,Deccan Chargers,Deccan Chargers
5/7/2008,Mumbai Indians,Rajasthan Royals,Mumbai Indians
5/8/2008,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
5/8/2008,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
5/9/2008,Rajasthan Royals,Deccan Chargers,Rajasthan Royals
5/28/2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
5/10/2008,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
5/11/2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
5/11/2008,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
5/12/2008,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
5/13/2008,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
5/14/2008,Mumbai Indians,Chennai Super Kings,Mumbai Indians
5/28/2008,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
5/15/2008,Delhi Daredevils,Deccan Chargers,Delhi Daredevils
5/16/2008,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
5/17/2008,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
5/17/2008,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
5/18/2008,Deccan Chargers,Mumbai Indians,Mumbai Indians
5/18/2008,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
5/19/2008,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
5/20/2008,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
5/21/2008,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
5/21/2008,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
5/23/2008,Kings XI Punjab,Deccan Chargers,Kings XI Punjab
5/24/2008,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
5/24/2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
